n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,subgroup_neg_boost,hard_neg_boost,hard_pos_boost,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.5,0.2,0.2577906847000122,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.1,0.0,0.0,0.2540126144886017,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.1,0.0,0.2,0.24613691866397858,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.0,0.5,0.0,0.23347856104373932,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.0,0.5,0.2,0.22184962034225464,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.35,0.0,0.0,0.17024122178554535,30,32,125,4,0.8823529411764706,0.7961783439490446,0.11764705882352941,0.20382165605095542,4.571428571428571,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.1,0.0,0.2,0.25158002972602844,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.1,0.0,0.2,0.24786841869354248,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.5,0.0,0.24654793739318848,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.1,0.0,0.2,0.23219239711761475,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.2,0.0,0.2,0.1991042196750641,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.2,0.0,0.2,0.19620054960250854,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.2,0.0,0.2,0.1943913996219635,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.1,0.5,0.2,0.18170735239982605,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.2,0.0,0.2,0.17504966259002686,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.1,0.5,0.0,0.17190100252628326,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.35,0.0,0.0,0.17003032565116882,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.35,0.0,0.0,0.14590983092784882,30,33,124,4,0.8823529411764706,0.7898089171974523,0.11764705882352941,0.21019108280254778,4.714285714285714,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.0,0.2,0.3177202045917511,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.0,0.0,0.0,0.30892083048820496,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.0,0.0,0.2,0.2894967496395111,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.0,0.0,0.0,0.2857220768928528,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.1,0.0,0.2,0.24914823472499847,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.1,0.0,0.2,0.24463218450546265,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
250,2,0.05,6.0,0.8,0.8,4.0,0.0,4.5,0.0,0.5,0.0,0.23091743886470795,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
300,2,0.05,6.0,0.8,0.8,4.0,0.0,4.0,0.1,0.0,0.0,0.2110266238451004,30,34,123,4,0.8823529411764706,0.7834394904458599,0.11764705882352941,0.21656050955414013,4.857142857142857,False
