meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
logreg,balanced,1.0,0,,0,5,8,0.45,True,0.0772342841990638,28,54,6,103,0.8235294117647058,0.6560509554140127,84.0,6.714285714285714,0,False,False,True,False
rf,1:5,1.0,500,8.0,4,5,8,0.45,True,0.265574067917633,29,55,5,102,0.8529411764705882,0.6496815286624203,80.0,6.857142857142857,0,False,False,True,False
rf,1:5,1.0,500,,4,5,8,0.45,True,0.2637768794095792,29,55,5,102,0.8529411764705882,0.6496815286624203,80.0,6.857142857142857,0,False,False,True,False
logreg,1:12,1.0,0,,0,5,8,0.45,True,0.10098263441113535,29,55,5,102,0.8529411764705882,0.6496815286624203,80.0,6.857142857142857,0,False,False,True,False
rf,1:5,1.0,200,8.0,4,5,8,0.45,True,0.26591722038593246,28,55,6,102,0.8235294117647058,0.6496815286624203,85.0,6.857142857142857,0,False,False,True,False
logreg,1:8,1.0,0,,0,5,8,0.45,True,0.10261724172555965,28,55,6,102,0.8235294117647058,0.6496815286624203,85.0,6.857142857142857,0,False,False,True,False
logreg,1:2,1.0,0,,0,5,8,0.45,True,0.08067460762956367,28,55,6,102,0.8235294117647058,0.6496815286624203,85.0,6.857142857142857,0,False,False,True,False
logreg,1:5,1.0,0,,0,5,8,0.45,True,0.08210382001286849,30,56,4,101,0.8823529411764706,0.643312101910828,76.0,7.0,0,False,False,True,False
rf,1:2,1.0,200,3.0,2,5,8,0.45,True,0.30388612974603474,29,56,5,101,0.8529411764705882,0.643312101910828,81.0,7.0,0,False,False,True,False
rf,1:8,1.0,200,,2,5,8,0.45,True,0.18891786274053127,29,56,5,101,0.8529411764705882,0.643312101910828,81.0,7.0,0,False,False,True,False
logreg,1:3,1.0,0,,0,5,8,0.45,True,0.08690666428125093,28,56,6,101,0.8235294117647058,0.643312101910828,86.0,7.0,0,False,False,True,False
rf,1:3,1.0,200,3.0,4,5,8,0.45,True,0.3613605902573858,28,57,6,100,0.8235294117647058,0.6369426751592356,87.0,7.142857142857143,0,False,False,True,False
rf,1:2,1.0,200,3.0,1,5,8,0.45,True,0.3020446031433433,28,57,6,100,0.8235294117647058,0.6369426751592356,87.0,7.142857142857143,0,False,False,True,False
rf,1:5,1.0,200,5.0,2,5,8,0.45,True,0.28165604566706337,28,57,6,100,0.8235294117647058,0.6369426751592356,87.0,7.142857142857143,0,False,False,True,False
rf,1:8,1.0,200,8.0,2,5,8,0.45,True,0.21525892923547588,28,57,6,100,0.8235294117647058,0.6369426751592356,87.0,7.142857142857143,0,False,False,True,False
rf,1:8,1.0,500,,2,5,8,0.45,True,0.18986094342287857,28,57,6,100,0.8235294117647058,0.6369426751592356,87.0,7.142857142857143,0,False,False,True,False
rf,1:12,1.0,200,,1,5,8,0.45,True,0.14749999999999996,28,57,6,100,0.8235294117647058,0.6369426751592356,87.0,7.142857142857143,0,False,False,True,False
rf,1:5,1.0,500,5.0,4,5,8,0.45,True,0.29888611882615035,28,58,6,99,0.8235294117647058,0.6305732484076433,88.0,7.285714285714286,0,False,False,True,False
rf,1:8,1.0,500,8.0,1,5,8,0.45,True,0.20764150050598093,28,58,6,99,0.8235294117647058,0.6305732484076433,88.0,7.285714285714286,0,False,False,True,False
rf,1:12,1.0,200,,2,5,8,0.45,True,0.182559274487766,28,58,6,99,0.8235294117647058,0.6305732484076433,88.0,7.285714285714286,0,False,False,True,False
rf,1:2,1.0,500,3.0,2,5,8,0.45,True,0.30039383667587455,28,59,6,98,0.8235294117647058,0.6242038216560509,89.0,7.428571428571429,0,False,False,True,False
rf,1:5,1.0,200,5.0,4,5,8,0.45,True,0.29792786362339946,28,59,6,98,0.8235294117647058,0.6242038216560509,89.0,7.428571428571429,0,False,False,True,False
rf,1:2,1.0,500,3.0,1,5,8,0.45,True,0.29592439865232195,28,59,6,98,0.8235294117647058,0.6242038216560509,89.0,7.428571428571429,0,False,False,True,False
rf,1:5,1.0,500,5.0,2,5,8,0.45,True,0.27176510081211097,28,59,6,98,0.8235294117647058,0.6242038216560509,89.0,7.428571428571429,0,False,False,True,False
rf,1:8,1.0,500,8.0,2,5,8,0.45,True,0.2118967720728733,28,59,6,98,0.8235294117647058,0.6242038216560509,89.0,7.428571428571429,0,False,False,True,False
rf,1:8,1.0,200,8.0,1,5,8,0.45,True,0.1995553380434093,28,59,6,98,0.8235294117647058,0.6242038216560509,89.0,7.428571428571429,0,False,False,True,False
rf,1:12,1.0,500,,1,5,8,0.45,True,0.14100000000000001,29,60,5,97,0.8529411764705882,0.6178343949044586,85.0,7.571428571428571,0,False,False,True,False
rf,1:3,1.0,200,3.0,2,5,8,0.45,True,0.342136570003406,28,60,6,97,0.8235294117647058,0.6178343949044586,90.0,7.571428571428571,0,False,False,True,False
rf,1:8,1.0,500,8.0,4,5,8,0.45,True,0.26940475030004907,28,60,6,97,0.8235294117647058,0.6178343949044586,90.0,7.571428571428571,0,False,False,True,False
rf,1:8,1.0,500,,4,5,8,0.45,True,0.26530716725650455,28,60,6,97,0.8235294117647058,0.6178343949044586,90.0,7.571428571428571,0,False,False,True,False
rf,1:3,1.0,200,3.0,1,5,8,0.45,True,0.33126802780773007,29,61,5,96,0.8529411764705882,0.6114649681528662,86.0,7.714285714285714,0,False,False,True,False
rf,1:8,1.0,200,,4,5,8,0.45,True,0.25276781752695465,29,61,5,96,0.8529411764705882,0.6114649681528662,86.0,7.714285714285714,0,False,False,True,False
rf,1:12,1.0,500,,2,5,8,0.45,True,0.17423630570541143,29,61,5,96,0.8529411764705882,0.6114649681528662,86.0,7.714285714285714,0,False,False,True,False
rf,1:5,1.0,200,5.0,1,5,8,0.45,True,0.26196211744150943,28,61,6,96,0.8235294117647058,0.6114649681528662,91.0,7.714285714285714,0,False,False,True,False
rf,1:12,1.0,200,8.0,1,5,8,0.45,True,0.237335075551787,28,61,6,96,0.8235294117647058,0.6114649681528662,91.0,7.714285714285714,0,False,False,True,False
rf,1:8,1.0,200,8.0,4,5,8,0.45,True,0.2558397842606646,29,63,5,94,0.8529411764705882,0.5987261146496815,88.0,8.0,0,False,False,True,False
rf,1:3,1.0,500,3.0,4,5,8,0.45,True,0.34838420965093997,28,63,6,94,0.8235294117647058,0.5987261146496815,93.0,8.0,0,False,False,True,False
rf,1:8,1.0,200,5.0,4,5,8,0.45,True,0.3295936300896941,28,63,6,94,0.8235294117647058,0.5987261146496815,93.0,8.0,0,False,False,True,False
rf,1:8,1.0,500,5.0,4,5,8,0.45,True,0.3274403459884496,28,63,6,94,0.8235294117647058,0.5987261146496815,93.0,8.0,0,False,False,True,False
rf,1:8,1.0,200,5.0,1,5,8,0.45,True,0.2889818059396297,28,63,6,94,0.8235294117647058,0.5987261146496815,93.0,8.0,0,False,False,True,False
rf,1:5,1.0,500,5.0,1,5,8,0.45,True,0.2553502042606191,28,63,6,94,0.8235294117647058,0.5987261146496815,93.0,8.0,0,False,False,True,False
rf,1:12,1.0,500,8.0,1,5,8,0.45,True,0.22690668785516055,28,63,6,94,0.8235294117647058,0.5987261146496815,93.0,8.0,0,False,False,True,False
rf,1:3,1.0,500,3.0,2,5,8,0.45,True,0.3301921653929011,28,64,6,93,0.8235294117647058,0.5923566878980892,94.0,8.142857142857142,0,False,False,True,False
rf,1:12,1.0,500,,4,5,8,0.45,True,0.25646467240638476,28,64,6,93,0.8235294117647058,0.5923566878980892,94.0,8.142857142857142,0,False,False,True,False
rf,1:3,1.0,500,3.0,1,5,8,0.45,True,0.3282366814235845,28,65,6,92,0.8235294117647058,0.5859872611464968,95.0,8.285714285714286,0,False,False,True,False
rf,1:8,1.0,200,5.0,2,5,8,0.45,True,0.29598267215985496,28,65,6,92,0.8235294117647058,0.5859872611464968,95.0,8.285714285714286,0,False,False,True,False
rf,1:12,1.0,500,8.0,2,5,8,0.45,True,0.2295883801580187,28,65,6,92,0.8235294117647058,0.5859872611464968,95.0,8.285714285714286,0,False,False,True,False
rf,1:12,1.0,200,8.0,2,5,8,0.45,True,0.22877044979336736,28,65,6,92,0.8235294117647058,0.5859872611464968,95.0,8.285714285714286,0,False,False,True,False
rf,1:12,1.0,200,,4,5,8,0.45,True,0.2350729539940282,30,66,4,91,0.8823529411764706,0.5796178343949044,86.0,8.428571428571429,0,False,False,True,False
rf,1:8,1.0,500,5.0,2,5,8,0.45,True,0.28555961895365184,28,66,6,91,0.8235294117647058,0.5796178343949044,96.0,8.428571428571429,0,False,False,True,False
rf,1:12,1.0,500,8.0,4,5,8,0.45,True,0.2702700778172463,28,66,6,91,0.8235294117647058,0.5796178343949044,96.0,8.428571428571429,0,False,False,True,False
