model_name,logreg_c,dtree_max_depth,dtree_min_leaf,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,threshold,tp,fp,fn,tn,sens,spec
xgboost,0.0,0,0,50,4,0.05,1.0,0.85,0.8,1.0,0.0,0.14028412103652954,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.03,1.0,0.9,0.9,1.0,0.0,0.13254332542419434,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,3,0.05,1.0,0.9,0.9,1.0,0.2,0.12705661356449127,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.05,1.0,0.85,0.9,1.0,0.0,0.12513034045696259,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,3,0.05,1.0,0.85,0.9,1.0,0.0,0.1242290586233139,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.9,1.0,0.2,0.11772890388965607,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.9,1.0,0.2,0.11772890388965607,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,50,4,0.05,1.0,0.85,0.9,1.0,0.2,0.11327759176492691,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.85,0.9,1.0,0.0,0.11069246381521225,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.85,0.9,1.0,0.0,0.11069246381521225,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.9,1.0,0.2,0.10776616632938385,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.9,1.0,0.2,0.10776616632938385,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,2.0,0.9,0.9,1.0,0.0,0.10215114802122116,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,2.0,0.9,0.9,1.0,0.0,0.10215114802122116,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,1.0,0.9,0.8,1.0,0.2,0.08147246390581131,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,1.0,0.9,0.9,1.0,0.0,0.07823284715414047,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,1.0,0.85,0.8,1.0,0.0,0.07746116071939468,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,1.0,0.85,0.8,1.0,0.0,0.07553251832723618,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,1.0,0.9,0.8,1.0,0.0,0.07339179515838623,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,3,0.05,1.0,0.9,0.9,1.0,0.2,0.07319552451372147,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,1.0,0.85,0.9,1.0,0.0,0.07207397371530533,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,80,4,0.05,1.0,0.85,0.9,1.0,0.2,0.06576205044984818,30,32,4,125,0.8823529411764706,0.7961783439490446
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.8,6.0,0.0,0.3997245728969574,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,6.0,0.0,0.3997245728969574,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.8,6.0,0.2,0.39927324652671814,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,6.0,0.2,0.39927324652671814,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.9,6.0,0.2,0.3992271423339844,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.9,6.0,0.2,0.3992271423339844,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.9,6.0,0.0,0.39855626225471497,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.9,6.0,0.0,0.39855626225471497,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,6.0,0.0,0.3981471657752991,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,6.0,0.0,0.3981471657752991,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,6.0,0.2,0.39810752868652344,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,6.0,0.2,0.39810752868652344,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,6.0,0.0,0.3974987268447876,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,6.0,0.0,0.3974987268447876,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.9,6.0,0.2,0.39747658371925354,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.9,6.0,0.2,0.39747658371925354,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.8,6.0,0.2,0.3906932771205902,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.8,6.0,0.2,0.3902272880077362,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.8,6.0,0.0,0.38989463448524475,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.8,6.0,0.0,0.38975727558135986,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,1.0,0.85,0.8,6.0,0.0,0.3897552490234375,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.8,6.0,0.0,0.3894369900226593,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.8,6.0,0.2,0.38864150643348694,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,1.0,0.85,0.8,6.0,0.2,0.38812121748924255,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,1.0,0.85,0.9,6.0,0.2,0.3875853717327118,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.9,6.0,0.2,0.38754260540008545,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,1.0,0.85,0.9,6.0,0.0,0.3867318332195282,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,1.0,0.85,0.9,6.0,0.0,0.3866870403289795,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.9,6.0,0.2,0.3835012912750244,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.9,6.0,0.2,0.3834960460662842,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,1.0,0.9,0.9,6.0,0.0,0.3824801445007324,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,1.0,0.9,0.9,6.0,0.0,0.38247498869895935,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.9,0.8,3.0,0.0,0.375437468290329,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.9,0.8,3.0,0.0,0.375437468290329,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.8,6.0,0.0,0.3740306496620178,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.8,6.0,0.0,0.3740306496620178,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.02,2.0,0.85,0.8,3.0,0.2,0.37315526604652405,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.02,2.0,0.85,0.8,3.0,0.2,0.37315526604652405,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,3,0.03,2.0,0.9,0.9,6.0,0.0,0.3724043071269989,30,33,4,124,0.8823529411764706,0.7898089171974523
xgboost,0.0,0,0,30,4,0.03,2.0,0.9,0.9,6.0,0.0,0.3724043071269989,30,33,4,124,0.8823529411764706,0.7898089171974523
