meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,meets_max_fp,meets_target_fn,meets_both
rf,1:2,1.0,200,5.0,1,5,8,0.45,True,0.22680275364860994,27,52,7,105,0.7941176470588235,0.6687898089171974,136.0,6.428571428571429,False,False,False
logreg,1:8,1.0,0,,0,5,8,0.45,True,0.13140888798952327,27,52,7,105,0.7941176470588235,0.6687898089171974,136.0,6.428571428571429,False,False,False
rf,1:3,1.0,500,5.0,1,5,8,0.45,True,0.23569962892643084,29,53,5,104,0.8529411764705882,0.6624203821656051,113.0,6.571428571428571,False,False,False
rf,1:3,1.0,500,3.0,2,5,8,0.45,True,0.3756611446411664,27,53,7,104,0.7941176470588235,0.6624203821656051,137.0,6.571428571428571,False,False,False
rf,1:3,1.0,500,3.0,1,5,8,0.45,True,0.3750911420882661,27,53,7,104,0.7941176470588235,0.6624203821656051,137.0,6.571428571428571,False,False,False
logreg,1:12,1.0,0,,0,5,8,0.45,True,0.13327530060524084,27,53,7,104,0.7941176470588235,0.6624203821656051,137.0,6.571428571428571,False,False,False
rf,1:5,1.0,500,3.0,1,5,8,0.45,True,0.4326091619167752,27,54,7,103,0.7941176470588235,0.6560509554140127,138.0,6.714285714285714,False,False,False
rf,1:5,1.0,500,3.0,2,5,8,0.45,True,0.43214675874136177,27,54,7,103,0.7941176470588235,0.6560509554140127,138.0,6.714285714285714,False,False,False
rf,1:8,1.0,500,8.0,4,5,8,0.45,True,0.29581541266037487,27,54,7,103,0.7941176470588235,0.6560509554140127,138.0,6.714285714285714,False,False,False
rf,1:5,1.0,500,8.0,4,5,8,0.45,True,0.265574067917633,29,55,5,102,0.8529411764705882,0.6496815286624203,115.0,6.857142857142857,False,False,False
rf,1:5,1.0,500,,4,5,8,0.45,True,0.2637768794095792,29,55,5,102,0.8529411764705882,0.6496815286624203,115.0,6.857142857142857,False,False,False
rf,1:5,1.0,500,3.0,4,5,8,0.45,True,0.43393919135474757,27,55,7,102,0.7941176470588235,0.6496815286624203,139.0,6.857142857142857,False,False,False
rf,1:5,1.0,200,3.0,1,5,8,0.45,True,0.43220873755187367,27,55,7,102,0.7941176470588235,0.6496815286624203,139.0,6.857142857142857,False,False,False
rf,1:5,1.0,200,3.0,2,5,8,0.45,True,0.4299608692385445,27,55,7,102,0.7941176470588235,0.6496815286624203,139.0,6.857142857142857,False,False,False
rf,1:8,1.0,200,8.0,2,5,8,0.45,True,0.23678747754290352,27,55,7,102,0.7941176470588235,0.6496815286624203,139.0,6.857142857142857,False,False,False
rf,1:8,1.0,500,8.0,1,5,8,0.45,True,0.2184738572411034,27,55,7,102,0.7941176470588235,0.6496815286624203,139.0,6.857142857142857,False,False,False
rf,1:12,1.0,200,3.0,4,5,8,0.45,True,0.662591536517921,26,37,8,120,0.7647058823529411,0.7643312101910829,133.0,7.0,False,False,False
rf,1:12,1.0,200,3.0,1,5,8,0.45,True,0.6555516287290839,26,39,8,118,0.7647058823529411,0.7515923566878981,135.0,7.0,False,False,False
rf,1:12,1.0,500,5.0,2,5,8,0.45,True,0.4637617571070551,26,39,8,118,0.7647058823529411,0.7515923566878981,135.0,7.0,False,False,False
rf,1:12,1.0,200,8.0,2,5,8,0.45,True,0.31849079411029735,26,39,8,118,0.7647058823529411,0.7515923566878981,135.0,7.0,False,False,False
rf,1:12,1.0,200,3.0,2,5,8,0.45,True,0.654961525823986,26,40,8,117,0.7647058823529411,0.7452229299363057,136.0,7.0,False,False,False
rf,1:12,1.0,500,3.0,1,5,8,0.45,True,0.6524381298090586,26,40,8,117,0.7647058823529411,0.7452229299363057,136.0,7.0,False,False,False
rf,1:12,1.0,500,3.0,2,5,8,0.45,True,0.6519497390701399,26,40,8,117,0.7647058823529411,0.7452229299363057,136.0,7.0,False,False,False
rf,1:12,1.0,500,5.0,1,5,8,0.45,True,0.46953573401079696,26,40,8,117,0.7647058823529411,0.7452229299363057,136.0,7.0,False,False,False
rf,1:12,1.0,500,3.0,4,5,8,0.45,True,0.655116310978051,26,41,8,116,0.7647058823529411,0.7388535031847133,137.0,7.0,False,False,False
rf,1:8,1.0,200,5.0,2,5,8,0.45,True,0.39783697942372537,26,41,8,116,0.7647058823529411,0.7388535031847133,137.0,7.0,False,False,False
rf,1:12,1.0,200,8.0,1,5,8,0.45,True,0.323283138574685,26,41,8,116,0.7647058823529411,0.7388535031847133,137.0,7.0,False,False,False
rf,1:12,1.0,500,8.0,2,5,8,0.45,True,0.31252479516905785,26,41,8,116,0.7647058823529411,0.7388535031847133,137.0,7.0,False,False,False
rf,1:8,1.0,500,3.0,1,5,8,0.45,True,0.5751280796066504,26,42,8,115,0.7647058823529411,0.732484076433121,138.0,7.0,False,False,False
rf,1:8,1.0,200,3.0,2,5,8,0.45,True,0.5679950392335151,26,42,8,115,0.7647058823529411,0.732484076433121,138.0,7.0,False,False,False
rf,1:12,1.0,200,5.0,1,5,8,0.45,True,0.46497090229433274,26,42,8,115,0.7647058823529411,0.732484076433121,138.0,7.0,False,False,False
rf,1:12,1.0,200,5.0,2,5,8,0.45,True,0.4632223850157767,26,42,8,115,0.7647058823529411,0.732484076433121,138.0,7.0,False,False,False
rf,1:8,1.0,200,5.0,1,5,8,0.45,True,0.3903691168034847,26,42,8,115,0.7647058823529411,0.732484076433121,138.0,7.0,False,False,False
rf,1:12,1.0,500,8.0,1,5,8,0.45,True,0.3217839959038963,26,42,8,115,0.7647058823529411,0.732484076433121,138.0,7.0,False,False,False
rf,1:8,1.0,500,3.0,2,5,8,0.45,True,0.5743574440637719,26,43,8,114,0.7647058823529411,0.7261146496815286,139.0,7.0,False,False,False
rf,1:8,1.0,200,3.0,4,5,8,0.45,True,0.5722363082325771,26,43,8,114,0.7647058823529411,0.7261146496815286,139.0,7.0,False,False,False
rf,1:8,1.0,200,3.0,1,5,8,0.45,True,0.5660388238484122,26,43,8,114,0.7647058823529411,0.7261146496815286,139.0,7.0,False,False,False
rf,1:8,1.0,500,3.0,4,5,8,0.45,True,0.5690191140525964,26,44,8,113,0.7647058823529411,0.7197452229299363,140.0,7.0,False,False,False
rf,1:5,1.0,200,3.0,4,5,8,0.45,True,0.49222078876132586,26,44,8,113,0.7647058823529411,0.7197452229299363,140.0,7.0,False,False,False
rf,1:8,1.0,500,5.0,2,5,8,0.45,True,0.39689513802154974,26,44,8,113,0.7647058823529411,0.7197452229299363,140.0,7.0,False,False,False
rf,1:8,1.0,500,5.0,1,5,8,0.45,True,0.3957390177440528,26,44,8,113,0.7647058823529411,0.7197452229299363,140.0,7.0,False,False,False
rf,1:5,1.0,200,5.0,1,5,8,0.45,True,0.3251323049241029,26,44,8,113,0.7647058823529411,0.7197452229299363,140.0,7.0,False,False,False
rf,1:8,1.0,500,8.0,2,5,8,0.45,True,0.2665093334945475,26,44,8,113,0.7647058823529411,0.7197452229299363,140.0,7.0,False,False,False
rf,1:5,1.0,200,5.0,2,5,8,0.45,True,0.32342572675426196,26,47,8,110,0.7647058823529411,0.7006369426751592,143.0,7.0,False,False,False
rf,1:12,1.0,500,5.0,4,5,8,0.45,True,0.4493539740341669,26,48,8,109,0.7647058823529411,0.6942675159235668,144.0,7.0,False,False,False
