meta_model,class_weight_spec,meta_c,rf_n_estimators,rf_max_depth,rf_min_samples_leaf,cb_iterations,cb_depth,cb_learning_rate,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_min_child_weight,xgb_subsample,xgb_colsample_bytree,xgb_reg_lambda,xgb_gamma,n_splits,n_repeats,target_pos_ratio,use_raw_features,threshold,tp,fp,fn,tn,sens,spec,cost,constraint_violation,preserve_fn_excess,meets_max_fp,meets_target_fn,meets_preserve_fn_max,meets_both
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.31850263476371765,29,39,5,118,0.8529411764705882,0.7515923566878981,64.0,4.571428571428571,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.3118899116913478,29,39,5,118,0.8529411764705882,0.7515923566878981,64.0,4.571428571428571,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.7,6.0,0.5,5,3,0.35,True,0.3835284858942032,29,40,5,117,0.8529411764705882,0.7452229299363057,65.0,4.714285714285714,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.03,2.0,0.8,0.7,6.0,1.0,5,3,0.35,True,0.37582752605279285,29,40,5,117,0.8529411764705882,0.7452229299363057,65.0,4.714285714285714,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.26784036308526993,29,40,5,117,0.8529411764705882,0.7452229299363057,65.0,4.714285714285714,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,250,2,0.05,2.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.2597637226184209,29,40,5,117,0.8529411764705882,0.7452229299363057,65.0,4.714285714285714,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,4.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.32222337524096173,29,41,5,116,0.8529411764705882,0.7388535031847133,66.0,4.857142857142857,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,2,0.05,4.0,0.8,0.8,6.0,0.5,5,3,0.35,True,0.31536832451820374,29,41,5,116,0.8529411764705882,0.7388535031847133,66.0,4.857142857142857,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.03,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.33353082835674286,29,42,5,115,0.8529411764705882,0.732484076433121,67.0,5.0,0,False,False,True,False
xgboost,1:8,0.0,0,,0,0,0,0.0,200,3,0.05,2.0,0.8,0.8,6.0,1.0,5,3,0.35,True,0.23821027328570685,29,42,5,115,0.8529411764705882,0.732484076433121,67.0,5.0,0,False,False,True,False
