n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,scale_pos_weight,threshold,tp,fp,tn,fn,sens,spec,fnr,fpr,constraint_violation,constraint_feasible
250,3,0.05,6.0,0.8,0.8,6.0,0.0,4.5,0.356029748916626,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,2,0.05,6.0,0.9,0.8,4.0,0.0,4.5,0.3248507082462311,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,2,0.05,6.0,0.9,0.8,6.0,0.0,4.5,0.32475247979164124,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,3,0.05,6.0,0.8,0.8,6.0,0.0,4.0,0.32148030400276184,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,3,0.05,6.0,0.9,0.8,4.0,0.0,4.0,0.31508344411849976,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,2,0.05,6.0,0.9,0.8,4.0,0.0,3.5,0.2825793921947479,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,2,0.05,4.0,0.8,0.7,4.0,0.0,4.0,0.27353715896606445,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,3,0.05,4.0,0.8,0.7,6.0,0.0,4.5,0.27344709634780884,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,3,0.05,4.0,0.8,0.7,6.0,0.0,3.5,0.2536740005016327,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,2,0.05,4.0,0.9,0.7,6.0,0.0,3.5,0.24644866585731506,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,3,0.05,4.0,0.9,0.8,4.0,0.0,4.5,0.24124741554260254,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,3,0.05,4.0,0.9,0.7,6.0,0.0,4.5,0.2339315563440323,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,3,0.05,4.0,0.9,0.7,4.0,0.0,3.5,0.22784270346164703,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,2,0.05,4.0,0.9,0.8,4.0,0.0,3.5,0.22653251886367798,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,3,0.05,4.0,0.9,0.8,4.0,0.0,4.5,0.21792948246002197,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
300,3,0.05,4.0,0.9,0.7,4.0,0.0,3.5,0.20388835668563843,29,30,127,5,0.8529411764705882,0.8089171974522293,0.14705882352941177,0.1910828025477707,5.0,False
250,3,0.05,6.0,0.9,0.8,6.0,0.0,4.5,0.33491185307502747,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
300,2,0.05,6.0,0.9,0.8,6.0,0.0,3.5,0.3025188744068146,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
300,3,0.05,6.0,0.9,0.8,6.0,0.0,3.5,0.3014529049396515,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,3,0.05,6.0,0.8,0.8,4.0,0.0,3.5,0.29721391201019287,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,3,0.05,4.0,0.8,0.7,6.0,0.0,4.5,0.2892170548439026,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,2,0.05,4.0,0.8,0.8,6.0,0.0,4.5,0.28859373927116394,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,3,0.05,6.0,0.9,0.8,4.0,0.0,3.5,0.28530552983283997,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
250,3,0.05,4.0,0.8,0.8,6.0,0.0,4.5,0.278247594833374,29,31,126,5,0.8529411764705882,0.802547770700637,0.14705882352941177,0.19745222929936307,5.0,False
